instance;n;p;pc;pm;run;bestObjective;evaluations;timeMs;reachedOptimum
ap_50_2.txt;50;2;0,200;0,050;18;178484,285703;6163;32;true
ap_50_2.txt;50;2;0,200;0,050;19;178548,982561;5000000;25984;false
ap_50_2.txt;50;2;0,200;0,050;20;178484,285703;2147044;11294;true
ap_50_2.txt;50;2;0,200;0,050;21;178484,285703;4869352;25116;true
ap_50_2.txt;50;2;0,200;0,050;22;178548,982561;5000000;25792;false
ap_50_2.txt;50;2;0,200;0,050;23;178548,982561;5000000;25804;false
ap_50_2.txt;50;2;0,200;0,050;24;178484,285703;17270;89;true
ap_50_2.txt;50;2;0,200;0,050;25;178484,285703;12032;62;true
ap_50_2.txt;50;2;0,200;0,050;26;178548,982561;5000000;25883;false
ap_50_2.txt;50;2;0,200;0,050;27;178484,285703;18327;94;true
ap_50_2.txt;50;2;0,200;0,050;28;178484,285703;5669;29;true
ap_50_2.txt;50;2;0,200;0,050;29;178484,285703;10169;53;true
ap_50_2.txt;50;2;0,200;0,050;30;178548,982561;5000000;25763;false
ap_50_2.txt;50;2;0,200;0,100;1;178484,285703;38946;205;true
ap_50_2.txt;50;2;0,200;0,100;2;178484,285703;31948;166;true
ap_50_2.txt;50;2;0,200;0,100;3;178548,982561;5000000;26273;false
ap_50_2.txt;50;2;0,200;0,100;4;178484,285703;34300;178;true
ap_50_2.txt;50;2;0,200;0,100;5;178484,285703;29452;153;true
ap_50_2.txt;50;2;0,200;0,100;6;178484,285703;78436;412;true
ap_50_2.txt;50;2;0,200;0,100;7;178548,982561;5000000;27116;false
ap_50_2.txt;50;2;0,200;0,100;8;178484,285703;39563;206;true
ap_50_2.txt;50;2;0,200;0,100;9;178484,285703;1384158;7238;true
ap_50_2.txt;50;2;0,200;0,100;10;178548,982561;5000000;26357;false
ap_50_2.txt;50;2;0,200;0,100;11;178484,285703;82417;429;true
ap_50_2.txt;50;2;0,200;0,100;12;178548,982561;5000000;26179;false
ap_50_2.txt;50;2;0,200;0,100;13;178484,285703;54662;285;true
ap_50_2.txt;50;2;0,200;0,100;14;178484,285703;1508371;7874;true
ap_50_2.txt;50;2;0,200;0,100;15;178484,285703;2470911;13042;true
ap_50_2.txt;50;2;0,200;0,100;16;178484,285703;44160;230;true
ap_50_2.txt;50;2;0,200;0,100;17;178548,982561;5000000;26626;false
ap_50_2.txt;50;2;0,200;0,100;18;178484,285703;285586;1500;true
ap_50_2.txt;50;2;0,200;0,100;19;178484,285703;25537;134;true
ap_50_2.txt;50;2;0,200;0,100;20;178484,285703;1962286;10244;true
